key,loudness,speechiness,acousticness,instrumentalness,valence,genre,energy,danceability,tempo
0,-4.75,0.0453,0.558,0,0.572,rhythmic,0.593,0.571,105.014
5,-7.799,0.0938,0.0139,0.0419,0.736,rock,0.845,0.504,159.508
6,-9.595,0.0348,0.811,1e-06,0.181,pop,0.249,0.236,72.847
0,-2.963,0.0685,0.0408,2.17e-06,0.728,rhythmic,0.873,0.42,72.858
9,-8.51,0.296,0.385,0,0.884,hip hop,0.828,0.847,111.045
6,-9.712,0.0284,0.17,1.03e-06,0.543,rock,0.466,0.44,107.744
0,-7.461,0.0392,0.221,0.00456,0.667,rock,0.678,0.648,132.729
4,-5.672,0.104,0.542,0.148,0.89,rhythmic,0.787,0.761,130.311
3,-14.099,0.0275,0.846,0.000649,0.233,rock,0.199,0.316,82.814
1,-9.35,0.0638,0.249,0.0351,0.587,rhythmic,0.673,0.649,78.535
2,-7.564,0.0289,0.13,0.000218,0.728,rock,0.641,0.699,120.745
1,-9.796,0.0348,0.543,0.00294,0.74,rock,0.452,0.82,117.401
0,-10.692,0.139,0.772,0,0.771,rhythmic,0.761,0.757,118.181
0,-8.839,0.0336,0.65,0.000546,0.36,rock,0.548,0.305,74.586
11,-5.399,0.0393,0.0182,1.4e-06,0.272,pop,0.729,0.507,105.013
5,-8.717,0.0634,0.000208,0.631,0.893,pop,0.959,0.769,116.168
4,-12.918,0.0298,0.888,0.0025,0.659,pop,0.216,0.667,111.088
9,-10.492,0.0757,0.21,0.136,0.37,rock,0.768,0.364,130.602
10,-8.968,0.0362,0.00106,0.49,0.303,pop,0.953,0.576,140.042
10,-15.044,0.0638,0.416,0,0.849,rock,0.508,0.563,79.436
10,-15.179,0.0346,0.811,0.906,0.892,rhythmic,0.38,0.788,138.205
7,-5.972,0.0619,0.000803,0.201,0.164,pop,0.939,0.523,119.839
1,-4.603,0.134,0.00864,0,0.575,pop,0.829,0.583,174.028
7,-5.939,0.0437,0.218,0,0.924,rock,0.87,0.391,75.546
10,-7.131,0.0358,0.0291,0.00492,0.923,pop,0.834,0.704,103.555
9,-13.126,0.0433,0.414,1.16e-06,0.554,rock,0.661,0.421,100.965
2,-10.536,0.0377,0.559,0.113,0.543,pop,0.574,0.605,129.449
0,-7.847,0.0314,0.654,3.36e-05,0.648,pop,0.44,0.574,136.927
10,-5.232,0.0282,0.136,0.7,0.589,pop,0.721,0.498,140.027
7,-13.057,0.035,0.00563,0.000473,0.126,rock,0.344,0.532,91.834
9,-10.099,0.0425,0.421,0,0.841,rock,0.561,0.607,127.638
6,-11.297,0.082,0.000143,0.00113,0.379,rock,0.668,0.418,162.663
9,-7.793,0.0433,0.0078,0.0233,0.657,pop,0.633,0.662,115.007
2,-11.166,0.0427,0.488,4.22e-05,0.581,rock,0.536,0.48,80.617
9,-7.989,0.0604,0.0174,0.000101,0.947,hip hop,0.711,0.761,105.448
5,-12.359,0.0387,0.432,7.3e-05,0.324,pop,0.629,0.66,111.926
7,-7.543,0.0397,0.0632,0.449,0.737,rock,0.657,0.494,118.194
2,-8.008,0.0571,0.00257,0.000258,0.585,hip hop,0.623,0.896,134.962
9,-5.442,0.0354,1.26e-05,7.09e-06,0.229,rock,0.781,0.143,90.063
2,-3.249,0.0452,8.74e-05,0.0777,0.421,rock,0.94,0.438,100.99
1,-20.41,0.0272,0.13,0.0755,0.205,rhythmic,0.15,0.516,97.398
0,-6.721,0.031,0.107,0.00032,0.965,rock,0.831,0.65,128.56
8,-21.155,0.0409,0.912,0.000137,0.226,pop,0.0447,0.244,81.165
5,-6.105,0.0405,8.4e-05,0.00208,0.0534,rock,0.829,0.38,125.887
